Model,Dataset,Feature Combination,Best Params,Accuracy,Precision,Recall,F1 Score,CV_scores(5fold)
Random Forest,Huongthom,Enhanced Color+Zernike moments+Edge,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 20, 'bootstrap': False}",0.9598540145985401,0.9601474868766787,0.9598540145985401,0.9598529237279165,0.9669064748201439
K-Nearest Neighbors,Huongthom,Enhanced Color+LBP+GLCM,"{'weights': 'uniform', 'n_neighbors': 13, 'metric': 'euclidean'}",0.9328467153284672,0.9335437020400524,0.9328467153284672,0.9328045998430977,0.937410071942446
Support Vector Machine,Huongthom,Enhanced Color+LBP+GLCM,"{'kernel': 'linear', 'gamma': 'scale', 'C': 0.5994842503189409}",0.9700729927007299,0.9701893807070568,0.9700729927007299,0.970068606389018,0.9773381294964029
Random Forest,Huongthom,Enhanced Color+LBP+GLCM,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None, 'bootstrap': False}",0.9503649635036496,0.9507346509295657,0.9503649635036496,0.9503469696703666,0.9514388489208633
K-Nearest Neighbors,Huongthom,Enhanced Color+LBP+Edge,"{'weights': 'uniform', 'n_neighbors': 13, 'metric': 'euclidean'}",0.9343065693430657,0.9349081787824088,0.9343065693430657,0.9342701372160016,0.9435251798561151
Support Vector Machine,Huongthom,Enhanced Color+LBP+Edge,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.9627737226277372,0.9629333155843484,0.9627737226277372,0.962766758218119,0.9741007194244604
Random Forest,Huongthom,Enhanced Color+LBP+Edge,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 20, 'bootstrap': False}",0.9554744525547445,0.9557440222682024,0.9554744525547445,0.9554619441717408,0.9535971223021583
K-Nearest Neighbors,Huongthom,Enhanced Color+GLCM+Edge,"{'weights': 'uniform', 'n_neighbors': 13, 'metric': 'euclidean'}",0.9416058394160584,0.9432377709738151,0.9416058394160584,0.9415325414630112,0.943884892086331
Support Vector Machine,Huongthom,Enhanced Color+GLCM+Edge,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.9722627737226277,0.9722659725910497,0.9722627737226277,0.9722623007553304,0.9784172661870503
Random Forest,Huongthom,Enhanced Color+GLCM+Edge,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': None, 'bootstrap': False}",0.9613138686131387,0.9613883494361363,0.9613138686131387,0.9613096007848695,0.9568345323741007
K-Nearest Neighbors,Huongthom,Zernike moments+LBP+GLCM,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'euclidean'}",0.8927007299270073,0.9016453277286437,0.8927007299270073,0.8920067325731651,0.8892086330935252
