Model,Dataset,Feature Combination,Best Params,Accuracy,Precision,Recall,F1 Score,CV_scores(5fold)
Random Forest,BC-15,Zernike moments+LBP+Edge,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 30, 'bootstrap': False}",0.872322899505766,0.8749869958518134,0.872322899505766,0.8721060542166797,0.8656087666353336
K-Nearest Neighbors,BC-15,Zernike moments+GLCM+Edge,"{'weights': 'uniform', 'n_neighbors': 9, 'metric': 'manhattan'}",0.8377265238879736,0.8485995722762949,0.8377265238879736,0.8364801616726175,0.8408309833605436
Support Vector Machine,BC-15,Zernike moments+GLCM+Edge,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.8962108731466227,0.8968379344696739,0.8962108731466227,0.8961736775906384,0.8887489899239764
Random Forest,BC-15,Zernike moments+GLCM+Edge,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 30, 'bootstrap': False}",0.8558484349258649,0.8595017415590986,0.8558484349258649,0.8554955843579922,0.8546447006052211
K-Nearest Neighbors,BC-15,LBP+GLCM+Edge,"{'weights': 'distance', 'n_neighbors': 49, 'metric': 'manhattan'}",0.7224052718286655,0.730769902634071,0.7224052718286655,0.7199362254027019,0.7044204225003711
Support Vector Machine,BC-15,LBP+GLCM+Edge,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.7874794069192751,0.7878702013748214,0.7874794069192751,0.7874159419302595,0.7425914015732451
Random Forest,BC-15,LBP+GLCM+Edge,"{'n_estimators': 150, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_depth': None, 'bootstrap': False}",0.7438220757825371,0.7439429979633982,0.7438220757825371,0.7437972172193104,0.7259436995992677
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+Zernike moments+LBP,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'euclidean'}",0.886326194398682,0.8966911030549707,0.886326194398682,0.8855959897235551,0.8944408713864014
Support Vector Machine,BC-15,Basic+Enhanced Color+Zernike moments+LBP,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 2.1544346900318843}",0.9406919275123559,0.941636023828029,0.9406919275123559,0.9406626181032304,0.9451870908161414
Random Forest,BC-15,Basic+Enhanced Color+Zernike moments+LBP,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 30, 'bootstrap': False}",0.9102141680395387,0.9112942938901784,0.9102141680395387,0.91015936835935,0.9220410956645063
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+Zernike moments+GLCM,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'euclidean'}",0.8978583196046128,0.9052738043922098,0.8978583196046128,0.8974016947920922,0.8980928115569189
Support Vector Machine,BC-15,Basic+Enhanced Color+Zernike moments+GLCM,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.9481054365733114,0.948547547430515,0.9481054365733114,0.9480940610291255,0.9484366496808985
Random Forest,BC-15,Basic+Enhanced Color+Zernike moments+GLCM,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 30, 'bootstrap': False}",0.9118616144975288,0.9128106622202438,0.9118616144975288,0.9118147650630845,0.9240694932304292
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+Zernike moments+Edge,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'euclidean'}",0.8912685337726524,0.8993055772190405,0.8912685337726524,0.8907330086543448,0.9049918369366248
Support Vector Machine,BC-15,Basic+Enhanced Color+Zernike moments+Edge,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.9406919275123559,0.941000886359696,0.9406919275123559,0.9406829121701752,0.9496578109797325
Random Forest,BC-15,Basic+Enhanced Color+Zernike moments+Edge,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None, 'bootstrap': True}",0.9126853377265239,0.9141503387219256,0.9126853377265239,0.9126127652399536,0.920418377611768
