Model,Dataset,Feature Combination,Accuracy,Precision,Recall,F1 Score,CV_scores(5fold)
Random Forest,BC-15,Basic+Enhanced Color+Zernike moments+LBP,0.9102141680395387,0.9117527780245549,0.9102141680395387,0.9101352090946806,0.9196053694816866
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+Zernike moments+GLCM,0.8929159802306426,0.903019350455512,0.8929159802306426,0.8922563538965456,0.8964651461930441
Support Vector Machine,BC-15,Basic+Enhanced Color+Zernike moments+GLCM,0.9415156507413509,0.9426749779472186,0.9415156507413509,0.9414799555368243,0.9399083098336053
Random Forest,BC-15,Basic+Enhanced Color+Zernike moments+GLCM,0.9093904448105437,0.9106870913672656,0.9093904448105437,0.9093235076362587,0.9220386220089383
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+Zernike moments+GIST,0.842668863261944,0.8541278591791479,0.842668863261944,0.8414140632399411,0.8396296113062551
Support Vector Machine,BC-15,Basic+Enhanced Color+Zernike moments+GIST,0.9126853377265239,0.9135718549551795,0.9126853377265239,0.9126421877630891,0.9066137304375073
Random Forest,BC-15,Basic+Enhanced Color+Zernike moments+GIST,0.9069192751235585,0.9084459315160286,0.9069192751235585,0.9068374186027421,0.9005268886360265
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+LBP+GLCM,0.8706754530477759,0.8812608419755804,0.8706754530477759,0.8697921739758014,0.8660169198040866
Support Vector Machine,BC-15,Basic+Enhanced Color+LBP+GLCM,0.9275123558484349,0.9302113179355748,0.9275123558484349,0.9274036007397928,0.9196103167928232
Random Forest,BC-15,Basic+Enhanced Color+LBP+GLCM,0.913509060955519,0.9147424162480794,0.913509060955519,0.9134489861809226,0.8964618479856199
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+LBP+GIST,0.8031301482701813,0.8069037487394315,0.8031301482701813,0.8025467343321794,0.7933442174178333
Support Vector Machine,BC-15,Basic+Enhanced Color+LBP+GIST,0.8632619439868204,0.8632651455166868,0.8632619439868204,0.8632612017427622,0.8538316924751397
Random Forest,BC-15,Basic+Enhanced Color+LBP+GIST,0.9003294892915981,0.9010164048672856,0.9003294892915981,0.9002905889811605,0.882256468609311
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+GLCM+GIST,0.7924217462932455,0.7947844829683666,0.7924217462932455,0.7920255238024642,0.8034911525585844
Support Vector Machine,BC-15,Basic+Enhanced Color+GLCM+GIST,0.8690280065897859,0.8690293636297018,0.8690280065897859,0.8690280954569576,0.8652096835369978
Random Forest,BC-15,Basic+Enhanced Color+GLCM+GIST,0.9036243822075782,0.9045552377373474,0.9036243822075782,0.9035731543213169,0.889966853015386
K-Nearest Neighbors,BC-15,Basic+Zernike moments+LBP+GLCM,0.8640856672158155,0.8771913223886378,0.8640856672158155,0.8629191926089204,0.8554486386648856
Support Vector Machine,BC-15,Basic+Zernike moments+LBP+GLCM,0.9275123558484349,0.928864350794161,0.9275123558484349,0.9274588061090069,0.9265068685169611
Random Forest,BC-15,Basic+Zernike moments+LBP+GLCM,0.8846787479406919,0.8869146413544347,0.8846787479406919,0.8845201661366019,0.8761622058411254
K-Nearest Neighbors,BC-15,Basic+Zernike moments+LBP+GIST,0.8138385502471169,0.8285006740913982,0.8138385502471169,0.8117791698547673,0.8006513959662923
Support Vector Machine,BC-15,Basic+Zernike moments+LBP+GIST,0.8887973640856672,0.8911560920767386,0.8887973640856672,0.8886375609811362,0.8684485232276258
Random Forest,BC-15,Basic+Zernike moments+LBP+GIST,0.8764415156507414,0.8815371265056309,0.8764415156507414,0.8760411960247871,0.8680378964033049
K-Nearest Neighbors,BC-15,Basic+Zernike moments+GLCM+GIST,0.828665568369028,0.8371386530365114,0.828665568369028,0.8276101662344729,0.8071513382476624
Support Vector Machine,BC-15,Basic+Zernike moments+GLCM+GIST,0.8879736408566722,0.8889326435648431,0.8879736408566722,0.8879097566916548,0.8798207424264911
Random Forest,BC-15,Basic+Zernike moments+GLCM+GIST,0.8731466227347611,0.8787996797297302,0.8731466227347611,0.8726864094217355,0.8692631804614193
K-Nearest Neighbors,BC-15,Basic+LBP+GLCM+GIST,0.7652388797364086,0.7671567949194746,0.7652388797364086,0.7648401642048629,0.7503059087386006
Support Vector Machine,BC-15,Basic+LBP+GLCM+GIST,0.8443163097199341,0.8443958210309261,0.8443163097199341,0.8443096545257334,0.8108057520737478
Random Forest,BC-15,Basic+LBP+GLCM+GIST,0.8797364085667215,0.8835018534449744,0.8797364085667215,0.8794517865657123,0.8647957585052524
K-Nearest Neighbors,BC-15,Enhanced Color+Zernike moments+LBP+GLCM,0.8871499176276771,0.9000765508390313,0.8871499176276771,0.8862498778213191,0.8907806856973235
Support Vector Machine,BC-15,Enhanced Color+Zernike moments+LBP+GLCM,0.9357495881383855,0.9371267414427498,0.9357495881383855,0.9357021235966198,0.9427513646333218
Random Forest,BC-15,Enhanced Color+Zernike moments+LBP+GLCM,0.9052718286655683,0.907139479385651,0.9052718286655683,0.9051689468357718,0.912301489140652
K-Nearest Neighbors,BC-15,Enhanced Color+Zernike moments+LBP+GIST,0.8352553542009885,0.8489375744793781,0.8352553542009885,0.8336574167211861,0.8384100991111332
Support Vector Machine,BC-15,Enhanced Color+Zernike moments+LBP+GIST,0.9093904448105437,0.910539095436556,0.9093904448105437,0.9093313875702619,0.8968732993617969
Random Forest,BC-15,Enhanced Color+Zernike moments+LBP+GIST,0.8871499176276771,0.8897037599749994,0.8871499176276771,0.8869733098296309,0.8895619980540577
K-Nearest Neighbors,BC-15,Enhanced Color+Zernike moments+GLCM+GIST,0.8270181219110379,0.8365644157966354,0.8270181219110379,0.825812752340068,0.8335386467454938
Support Vector Machine,BC-15,Enhanced Color+Zernike moments+GLCM+GIST,0.8937397034596376,0.8959281786647465,0.8937397034596376,0.8936000152277884,0.8984976665182474
Random Forest,BC-15,Enhanced Color+Zernike moments+GLCM+GIST,0.8780889621087314,0.8809007635331272,0.8780889621087314,0.8778735270783112,0.8871279209749501
